Produto,Subdivisão,Meta (%)
2202126,CASA,10.0
3295001,CASA,10.0
4225258,CASA,10.0
5868570,CASA,10.0
6022768,CASA,10.0
6319300,CASA,10.0
6525808,CASA,10.0
6740395,CASA,10.0
6872032,CASA,10.0
402501,CASA,10.0
3322966,CASA,10.0
2983639,CASA,10.0
8687593,CASA,10.0
1713965,CASA,10.0
9807652,CASA,10.0
2202126,CLIN,10.0
3295001,CLIN,10.0
4225258,CLIN,10.0
5868570,CLIN,10.0
6022768,CLIN,10.0
6319300,CLIN,10.0
6525808,CLIN,10.0
6740395,CLIN,10.0
6872032,CLIN,10.0
402501,CLIN,10.0
3322966,CLIN,10.0
2983639,CLIN,10.0
8687593,CLIN,10.0
1713965,CLIN,10.0
9807652,CLIN,10.0
